"228ba3f6d946af4298b080e5c934487c","Roundcube Webmail","0.8-0.9 : Classic","skins/classic/images/favicon.ico"
"228ba3f6d946af4298b080e5c934487c","Roundcube Webmail","0.8-0.9 : Larry","skins/larry/images/favicon.ico"
"ed8cf53ef6836184587ee3a987be074a","Ruckus","x","favicon.ico"
"386211e5c0b7d92efabd41390e0fc250","SparkWeb","0.9.0","favicon.ico"
"befcded36aec1e59ea624582fcb3225c","SpeedTouch","x",""
"9afa5d60e5ef15dc75d7662e418cac72","QNAP TurboNAS","3.8.x","ajax_obj/images/favicon.ico"
"f682dbd4d0a18dd7699339b8adb28c0f","QNAP TurboNAS","3.8.x : Admin","v3_menu/pic/admin.ico"
"7ff45523a7ee9686d3d391a0a27a0b4f","QNAP TurboNAS","4.0.x","cgi-bin/images/mobile/logo_16.ico"
"a967c8bfde9ea0869637294b679b7251","Squid Proxy Server","x","images/favicon.ico"
"bc18566dcc41a0ff503968f461c4995a","Subrion CMS","x","favicon.ico"
"531e652a15bc0ad59b6af05019b1834a","Synology DSM","4.2","webman/favicon.ico"
"0ec12e5820517d3b62e56b9a8f1ee5bc","TradingEye","x","_assets/img/site/favicon.ico"
"ee4a637a1257b2430649d6750cda6eba","Trimble Device","x","favicon.ico"
"5f09cded07bb864fd9b3d2dd72b5418e","TwonkyServer Premium","7.0.x","webconfig/favicon.ico"
"b14353fafda7c90fb1a2a214c195de50","webERP","x","favicon.ico"
"e44d22b74f7ee4435e22062d5adf4a6a","Wordpress","2.x","wp-includes/images/wlw/wp-icon.png"
"3ead5afa19537170bb980924397b70d6","Wordpress","3.x : Twenty Ten","wp-content/themes/twentyten/images/wordpress.png"
"28a122aa74f6929b0994fc544555c0b1","Wordpress","3.2-3.x : Twenty Eleven","wp-content/themes/twentyeleven/images/wordpress.png"
"9187f6607b402df8bbc2aeb69a07bbca","Xoops","2.x","favicon.ico"
"8718c2998236c796896b725f264092ee","Typo3","6.1","fileadmin/default/templates/images/favicon.ico"
